,Date,Symbol
659,2015-01-01,ADANIPORTS
660,2015-01-01,AMBUJACEM
661,2015-01-01,APOLLOHOSP
662,2015-01-01,APOLLOTYRE
663,2015-01-01,ASHOKLEY
664,2015-01-01,ASIANPAINT
665,2015-01-01,AUROPHARMA
666,2015-01-01,AXISBANK
667,2015-01-01,BPCL
668,2015-01-01,BAJAJ_AUTO
669,2015-01-01,BANKBARODA
670,2015-01-01,BATAINDIA
671,2015-01-01,BHARATFORG
672,2015-01-01,BHARTIARTL
673,2015-01-01,BHEL
674,2015-01-01,BIOCON
675,2015-01-01,HDFCBANK
676,2015-01-01,HEROMOTOCO
677,2015-01-01,HINDALCO
678,2015-01-01,MOTHERSON
679,2015-01-01,MRF
680,2015-01-01,MARUTI
681,2015-01-01,NTPC
682,2015-01-01,ONGC
683,2015-01-01,PETRONET
684,2015-01-01,PFC
685,2015-01-01,PNB
686,2015-01-01,POWERGRID
687,2015-01-01,NMDC
688,2015-01-01,M_MFIN
689,2015-01-01,HINDPETRO
690,2015-01-01,HINDUNILVR
691,2015-01-01,ICICIBANK
692,2015-01-01,IDEA
693,2015-01-01,IGL
694,2015-01-01,INDUSINDBK
695,2015-01-01,INFY
696,2015-01-01,IOC
697,2015-01-01,ITC
698,2015-01-01,JINDALSTEL
699,2015-01-01,JSWSTEEL
700,2015-01-01,JUBLFOOD
701,2015-01-01,KOTAKBANK
702,2015-01-01,LICHSGFIN
703,2015-01-01,LT
704,2015-01-01,LUPIN
705,2015-01-01,M_M
706,2015-07-01,JPPOWER
707,2015-07-01,AMTEKAUTO
708,2015-07-01,UCOBANK
709,2015-07-01,IOB
710,2015-07-01,UNITECH
711,2015-07-01,MCLEODRUSS
712,2015-07-01,CROMPGREAV
713,2015-07-01,CAIRN
714,2015-07-01,ABIRLANUVO
715,2015-07-01,IBREALEST
716,2015-07-01,JSWENERGY
717,2015-07-01,HDIL
718,2015-07-01,ANDHRABANK
719,2015-07-01,PTC
720,2015-07-01,RCOM
721,2015-07-01,JPASSOCIAT
722,2015-07-01,GODREJIND
723,2015-07-01,IFCI
724,2015-07-01,IRB
725,2015-07-01,INDIACEM
726,2015-07-01,WOCKPHARMA
727,2015-07-01,IDFC
728,2015-07-01,KSCL
729,2015-07-01,JISLJALEQS
730,2015-07-01,NHPC
731,2015-07-01,ORIENTBANK
732,2015-07-01,SOUTHBANK
733,2015-07-01,SYNDIBANK
734,2015-07-01,CEATLTD
735,2015-07-01,KTKBANK
736,2015-07-01,ALBK
737,2015-07-01,AJANTPHARM
738,2015-07-01,TATACOMM
739,2015-07-01,RPOWER
740,2015-07-01,BHARATFIN
741,2015-07-01,HINDZINC
742,2015-07-01,RELINFRA
743,2015-07-01,RELCAPITAL
744,2015-07-01,ARVIND
745,2015-07-01,OFSS
746,2015-07-01,IDBI
747,2015-07-01,ENGINERSIN
748,2015-07-01,DHFL
749,2015-07-01,STAR
750,2015-07-01,BANKINDIA
751,2015-07-01,UNIONBANK
752,2015-07-01,HEXAWARE
753,2015-07-01,DISHTV
754,2015-07-01,TATAMTRDVR
755,2015-07-01,CASTROLIND
756,2015-07-01,TATACONSUM
757,2015-07-01,OIL
758,2015-07-01,CESC
759,2015-07-01,YESBANK
760,2015-07-01,ADANIPOWER
761,2015-07-01,JUSTDIAL
762,2015-07-01,CENTURYTEX
763,2015-07-01,MINDTREE
764,2015-07-01,SRTRANSFIN
765,2015-07-01,AMARAJABAT
766,2015-07-01,HDFC
767,2015-07-01,IBULHSGFIN
768,2015-07-01,L_TFH
769,2015-07-01,ZEEL
770,2015-07-01,TCS
771,2015-07-01,UPL
772,2015-07-01,SIEMENS
773,2015-07-01,SBIN
774,2015-07-01,SAIL
775,2015-07-01,VOLTAS
776,2015-07-01,VEDL
777,2015-07-01,RECLTD
778,2015-07-01,SRF
779,2015-07-01,RELIANCE
780,2015-07-01,TATAMOTORS
781,2015-07-01,TITAN
782,2015-07-01,TATAPOWER
783,2015-07-01,TATASTEEL
784,2015-07-01,TECHM
785,2015-07-01,UBL
786,2015-07-01,ULTRACEMCO
787,2015-07-01,SUNPHARMA
788,2015-07-01,SUNTV
789,2015-07-01,TVSMOTOR
790,2015-07-01,TATACHEM
791,2015-07-01,WIPRO
792,2015-07-01,CIPLA
793,2015-07-01,COALINDIA
794,2015-07-01,COLPAL
795,2015-07-01,DABUR
796,2015-07-01,DIVISLAB
797,2015-07-01,DLF
798,2015-07-01,CANBK
799,2015-07-01,DRREDDY
800,2015-07-01,EXIDEIND
801,2015-07-01,FEDERALBNK
802,2015-07-01,GAIL
803,2015-07-01,GLENMARK
804,2015-07-01,GMRINFRA
805,2015-07-01,GRASIM
806,2015-07-01,HAVELLS
807,2015-07-01,EICHERMOT
808,2015-07-01,HCLTECH
809,2015-07-01,BRITANNIA
810,2015-07-01,BOSCHLTD
811,2015-07-01,ACC
812,2015-07-01,ADANIENT
813,2015-07-01,ADANIPORTS
814,2015-07-01,AMBUJACEM
815,2015-07-01,APOLLOHOSP
816,2015-07-01,APOLLOTYRE
817,2015-07-01,ASHOKLEY
818,2015-07-01,ASIANPAINT
819,2015-07-01,AUROPHARMA
820,2015-07-01,AXISBANK
821,2015-07-01,BPCL
822,2015-07-01,BAJAJ_AUTO
823,2015-07-01,BAJFINANCE
824,2015-07-01,BANKBARODA
825,2015-07-01,BATAINDIA
826,2015-07-01,BEL
827,2015-07-01,BHARATFORG
828,2015-07-01,BHARTIARTL
829,2015-07-01,BHEL
830,2015-07-01,BIOCON
831,2015-07-01,HDFCBANK
832,2015-07-01,HEROMOTOCO
833,2015-07-01,HINDALCO
834,2015-07-01,MOTHERSON
835,2015-07-01,MRF
836,2015-07-01,MARUTI
837,2015-07-01,NTPC
