,Stock,Start Date,End Date,Accord Code,Sr.No.,Company Name,CD_BSE Code,CD_Bse Scrip Name,CD_NSE Symbol,CD_ISIN No
209,CHAMBLFERT,29-10-2021,31-12-2024,100085,641,Chambal Fertilisers and Chemicals Ltd.,500085.0,CHAMBAL FERT,CHAMBLFERT,INE085A01013
210,CHOLAFIN,28-04-2017,31-12-2024,111243,661,Cholamandalam Investment and Finance Company Ltd.,511243.0,CHOLAFIN,CHOLAFIN,INE121A01024
211,CIPLA,29-12-2006,31-12-2024,100087,672,Cipla Ltd.,500087.0,CIPLA LTD.,CIPLA,INE059A01026
212,COALINDIA,05-08-2011,31-12-2024,219300,688,Coal India Ltd.,533278.0,COAL INDIA,COALINDIA,INE522F01014
213,COLPAL,17-12-2007,31-12-2024,100830,694,Colgate-Palmolive (India) Ltd.,500830.0,COLGATE PALM,COLPAL,INE259A01022
214,CONCOR,01-01-2016,31-12-2024,131344,708,Container Corporation Of India Ltd.,531344.0,CONTAIN.CORP,CONCOR,INE111A01025
215,CUMMINSIND,26-02-2016,31-12-2024,100480,749,Cummins India Ltd.,500480.0,CUMMINS (I),CUMMINSIND,INE298A01020
216,DABUR,29-12-2006,31-12-2024,100096,762,Dabur India Ltd.,500096.0,DABUR (I),DABUR,INE016A01026
217,DIVISLAB,29-12-2006,31-12-2024,132488,855,Divi's Laboratories Ltd.,532488.0,DIVI'S LAB.,DIVISLAB,INE361B01024
218,DLF,04-07-2007,31-12-2024,132868,860,DLF Ltd.,532868.0,DLF LIMITED,DLF,INE271C01023
219,CANBK,29-12-2006,31-12-2024,132483,589,Canara Bank,532483.0,CANARA BANK,CANBK,INE476A01022
220,DRREDDY,29-12-2006,31-12-2024,100124,878,Dr. Reddy's Laboratories Ltd.,500124.0,DR.REDDY'S,DRREDDY,INE089A01031
221,ESCORTS,31-03-2017,31-12-2024,100495,1006,Escorts Kubota Ltd.,500495.0,ESCORTS,ESCORTS,INE042A01014
222,EXIDEIND,28-05-2010,31-12-2024,100086,1040,Exide Industries Ltd.,500086.0,EXIDE IND.,EXIDEIND,INE302A01020
223,FEDERALBNK,29-12-2006,31-12-2024,100469,3623,The Federal Bank Ltd.,500469.0,FEDERAL BANK,FEDERALBNK,INE171A01029
224,GAIL,29-12-2006,31-12-2024,132155,1110,GAIL (India) Ltd.,532155.0,GAIL (I) LTD,GAIL,INE129A01019
225,GLENMARK,03-10-2013,31-12-2024,132296,1175,Glenmark Pharmaceuticals Ltd.,532296.0,GLENMARK PHA,GLENMARK,INE935A01035
226,GMRINFRA,29-12-2006,31-12-2024,132754,1195,GMR Airports Ltd.,532754.0,GMRINFRA,GMRINFRA,INE776C01039
227,GNFC,31-12-2021,31-12-2024,100670,1284,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670.0,GUJ.NARMADA,GNFC,INE113A01013
228,GODREJCP,01-01-2016,31-12-2024,132424,1208,Godrej Consumer Products Ltd.,532424.0,GODREJ CONS,GODREJCP,INE102D01028
229,GRANULES,26-02-2021,31-12-2024,132482,1238,Granules India Ltd.,532482.0,GRANULES (I),GRANULES,INE101D01020
230,GRASIM,29-12-2006,31-12-2024,100300,1242,Grasim Industries Ltd.,500300.0,GRASIM IND.,GRASIM,INE047A01021
231,HAVELLS,29-10-2010,31-12-2024,117354,1315,Havells India Ltd.,517354.0,HAVELLSINDIA,HAVELLS,INE176B01034
232,EICHERMOT,10-09-2014,31-12-2024,105200,941,Eicher Motors Ltd.,505200.0,EICHER MOTOR,EICHERMOT,INE066A01021
233,HCLTECH,29-12-2006,31-12-2024,132281,1320,HCL Technologies Ltd.,532281.0,HCL TECHNO,HCLTECH,INE860A01027
234,BRITANNIA,29-05-2015,31-12-2024,100825,561,Britannia Industries Ltd.,500825.0,BRITANIA IND,BRITANNIA,INE216A01030
235,BOSCHLTD,28-11-2014,31-12-2024,100530,547,Bosch Ltd.,500530.0,BOSCH LTD,BOSCHLTD,INE323A01026
236,ABB,28-01-2022,31-12-2024,100002,33,ABB India Ltd.,500002.0,ABB LTD.,ABB,INE117A01022
237,ACC,29-12-2006,31-12-2024,100410,42,ACC Ltd.,500410.0,ACC LTD,ACC,INE012A01025
238,ADANIENT,19-02-2010,31-12-2024,112599,52,Adani Enterprises Ltd.,512599.0,ADANI ENTER ,ADANIENT,INE423A01024
239,ADANIPORTS,19-02-2010,31-12-2024,132921,54,Adani Ports and Special Economic Zone Ltd.,532921.0,ADANI PORTS,ADANIPORTS,INE742F01042
240,AMBUJACEM,24-07-2007,31-12-2024,100425,184,Ambuja Cements Ltd.,500425.0,AMBUJA CEME,AMBUJACEM,INE079A01024
241,APOLLOHOSP,27-12-2013,31-12-2024,108869,230,Apollo Hospitals Enterprise Ltd.,508869.0,APOLLO HOSP.,APOLLOHOSP,INE437A01024
242,APOLLOTYRE,19-02-2010,31-12-2024,100877,234,Apollo Tyres Ltd.,500877.0,APOLLO TYRES,APOLLOTYRE,INE438A01022
243,ASHOKLEY,29-12-2006,31-12-2024,100477,285,Ashok Leyland Ltd.,500477.0,ASHOK LEYL.,ASHOKLEY,INE208A01029
244,ASIANPAINT,21-08-2008,31-12-2024,100820,297,Asian Paints Ltd.,500820.0,ASIAN PAINTS,ASIANPAINT,INE021A01026
245,AUROPHARMA,29-12-2006,31-12-2024,124804,328,Aurobindo Pharma Ltd.,524804.0,AUROB.PHARMA,AUROPHARMA,INE406A01037
246,AXISBANK,29-12-2006,31-12-2024,132215,357,Axis Bank Ltd.,532215.0,AXIS BANK,AXISBANK,INE238A01034
